LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
LUX,SUICIDE,TOT,100000PER,A,2017,8.7,
LUX,SUICIDE,TOT,100000PER,A,2018,8.2,
LUX,SUICIDE,TOT,100000PER,A,2019,10.9,
LUX,SUICIDE,TOT,100000PER,A,2020,9.4,
MEX,SUICIDE,TOT,100000PER,A,2015,5.5,
MEX,SUICIDE,TOT,100000PER,A,2016,5.4,
MEX,SUICIDE,TOT,100000PER,A,2017,5.5,
MEX,SUICIDE,TOT,100000PER,A,2018,5.5,
MEX,SUICIDE,TOT,100000PER,A,2019,5.7,
MEX,SUICIDE,TOT,100000PER,A,2020,6.3,
NLD,SUICIDE,TOT,100000PER,A,2015,10.7,
NLD,SUICIDE,TOT,100000PER,A,2016,10.8,
NLD,SUICIDE,TOT,100000PER,A,2017,10.8,
NLD,SUICIDE,TOT,100000PER,A,2018,10.2,
NLD,SUICIDE,TOT,100000PER,A,2019,10,
NLD,SUICIDE,TOT,100000PER,A,2020,10,
NZL,SUICIDE,TOT,100000PER,A,2015,11.8,
NZL,SUICIDE,TOT,100000PER,A,2016,12.1,
NOR,SUICIDE,TOT,100000PER,A,2015,11.4,
NOR,SUICIDE,TOT,100000PER,A,2016,11.8,
POL,SUICIDE,TOT,100000PER,A,2015,13.7,
POL,SUICIDE,TOT,100000PER,A,2016,11.9,
POL,SUICIDE,TOT,100000PER,A,2017,11.3,
POL,SUICIDE,TOT,100000PER,A,2018,11.3,
POL,SUICIDE,TOT,100000PER,A,2019,11.6,
POL,SUICIDE,TOT,100000PER,A,2020,11.5,
PRT,SUICIDE,TOT,100000PER,A,2015,9.7,
PRT,SUICIDE,TOT,100000PER,A,2016,8.4,
PRT,SUICIDE,TOT,100000PER,A,2017,9.1,
PRT,SUICIDE,TOT,100000PER,A,2018,8.5,
PRT,SUICIDE,TOT,100000PER,A,2019,8.4,
SVK,SUICIDE,TOT,100000PER,A,2016,6.9,
SVK,SUICIDE,TOT,100000PER,A,2017,6.7,
SVK,SUICIDE,TOT,100000PER,A,2018,7.4,
SVK,SUICIDE,TOT,100000PER,A,2019,6.6,
ESP,SUICIDE,TOT,100000PER,A,2015,7.2,
ESP,SUICIDE,TOT,100000PER,A,2016,7.1,
ESP,SUICIDE,TOT,100000PER,A,2017,7.2,
ESP,SUICIDE,TOT,100000PER,A,2018,6.9,
ESP,SUICIDE,TOT,100000PER,A,2019,7.1,
ESP,SUICIDE,TOT,100000PER,A,2020,7.5,
SWE,SUICIDE,TOT,100000PER,A,2015,12,
SWE,SUICIDE,TOT,100000PER,A,2016,11.3,
SWE,SUICIDE,TOT,100000PER,A,2017,11.7,
SWE,SUICIDE,TOT,100000PER,A,2018,12.4,
CHE,SUICIDE,TOT,100000PER,A,2015,12.3,
CHE,SUICIDE,TOT,100000PER,A,2016,11.5,
CHE,SUICIDE,TOT,100000PER,A,2017,11.6,
CHE,SUICIDE,TOT,100000PER,A,2018,11.1,
CHE,SUICIDE,TOT,100000PER,A,2019,11.1,
CHE,SUICIDE,TOT,100000PER,A,2020,10.6,
GBR,SUICIDE,TOT,100000PER,A,2015,7.6,
GBR,SUICIDE,TOT,100000PER,A,2016,7.4,
GBR,SUICIDE,TOT,100000PER,A,2017,7.1,
GBR,SUICIDE,TOT,100000PER,A,2018,8.1,
GBR,SUICIDE,TOT,100000PER,A,2019,8.6,
GBR,SUICIDE,TOT,100000PER,A,2020,8.4,
USA,SUICIDE,TOT,100000PER,A,2015,14,
USA,SUICIDE,TOT,100000PER,A,2016,14.2,
USA,SUICIDE,TOT,100000PER,A,2017,14.8,
USA,SUICIDE,TOT,100000PER,A,2018,15,
USA,SUICIDE,TOT,100000PER,A,2019,14.7,
USA,SUICIDE,TOT,100000PER,A,2020,14.1,
BRA,SUICIDE,TOT,100000PER,A,2015,6.1,
BRA,SUICIDE,TOT,100000PER,A,2016,6.1,
BRA,SUICIDE,TOT,100000PER,A,2017,6.5,
BRA,SUICIDE,TOT,100000PER,A,2018,6.5,
BRA,SUICIDE,TOT,100000PER,A,2019,6.7,
BRA,SUICIDE,TOT,100000PER,A,2020,6.9,
CHL,SUICIDE,TOT,100000PER,A,2015,10.9,
CHL,SUICIDE,TOT,100000PER,A,2016,10.6,
CHL,SUICIDE,TOT,100000PER,A,2017,10.5,
CHL,SUICIDE,TOT,100000PER,A,2018,10,
CHL,SUICIDE,TOT,100000PER,A,2019,10.1,
CHL,SUICIDE,TOT,100000PER,A,2020,8.4,
EST,SUICIDE,TOT,100000PER,A,2015,14.5,
EST,SUICIDE,TOT,100000PER,A,2016,13.3,
EST,SUICIDE,TOT,100000PER,A,2017,16.5,
EST,SUICIDE,TOT,100000PER,A,2018,14,
EST,SUICIDE,TOT,100000PER,A,2019,14.1,
EST,SUICIDE,TOT,100000PER,A,2020,15.2,
ISR,SUICIDE,TOT,100000PER,A,2015,5,
ISR,SUICIDE,TOT,100000PER,A,2016,5.6,
ISR,SUICIDE,TOT,100000PER,A,2017,5.6,
ISR,SUICIDE,TOT,100000PER,A,2018,6.2,
ISR,SUICIDE,TOT,100000PER,A,2019,5.7,
ISR,SUICIDE,TOT,100000PER,A,2020,5.7,
RUS,SUICIDE,TOT,100000PER,A,2015,17.1,
RUS,SUICIDE,TOT,100000PER,A,2019,11.7,
SVN,SUICIDE,TOT,100000PER,A,2015,18.9,
SVN,SUICIDE,TOT,100000PER,A,2016,16.8,
SVN,SUICIDE,TOT,100000PER,A,2017,18.1,
SVN,SUICIDE,TOT,100000PER,A,2018,15.7,
SVN,SUICIDE,TOT,100000PER,A,2019,17.2,
SVN,SUICIDE,TOT,100000PER,A,2020,15.7,
ZAF,SUICIDE,TOT,100000PER,A,2015,1,
ZAF,SUICIDE,TOT,100000PER,A,2016,0.8,
ZAF,SUICIDE,TOT,100000PER,A,2017,0.7,
ZAF,SUICIDE,TOT,100000PER,A,2018,0.6,
TUR,SUICIDE,TOT,100000PER,A,2015,2.2,D
TUR,SUICIDE,TOT,100000PER,A,2016,2.6,D
TUR,SUICIDE,TOT,100000PER,A,2019,4.4,D
COL,SUICIDE,TOT,100000PER,A,2015,5.3,
COL,SUICIDE,TOT,100000PER,A,2016,5.4,
COL,SUICIDE,TOT,100000PER,A,2017,5.7,
COL,SUICIDE,TOT,100000PER,A,2018,6,
COL,SUICIDE,TOT,100000PER,A,2019,5.9,
COL,SUICIDE,TOT,100000PER,A,2020,5.6,
LVA,SUICIDE,TOT,100000PER,A,2015,18.6,
LVA,SUICIDE,TOT,100000PER,A,2016,17.7,
LVA,SUICIDE,TOT,100000PER,A,2017,17.3,
LVA,SUICIDE,TOT,100000PER,A,2018,14.7,
LVA,SUICIDE,TOT,100000PER,A,2019,14.4,
LVA,SUICIDE,TOT,100000PER,A,2020,14.9,
LTU,SUICIDE,TOT,100000PER,A,2015,29.6,
LTU,SUICIDE,TOT,100000PER,A,2016,27.3,
LTU,SUICIDE,TOT,100000PER,A,2017,25,
LTU,SUICIDE,TOT,100000PER,A,2018,22.9,
LTU,SUICIDE,TOT,100000PER,A,2019,22.2,
LTU,SUICIDE,TOT,100000PER,A,2020,20.3,
CRI,SUICIDE,TOT,100000PER,A,2015,6.7,
CRI,SUICIDE,TOT,100000PER,A,2016,7,
CRI,SUICIDE,TOT,100000PER,A,2017,5.7,
CRI,SUICIDE,TOT,100000PER,A,2018,7.9,
CRI,SUICIDE,TOT,100000PER,A,2019,7.8,
CRI,SUICIDE,TOT,100000PER,A,2020,7,
ARG,SUICIDE,TOT,100000PER,A,2015,7.9,
ARG,SUICIDE,TOT,100000PER,A,2016,7.6,
ARG,SUICIDE,TOT,100000PER,A,2017,7.8,
ARG,SUICIDE,TOT,100000PER,A,2018,8,
ARG,SUICIDE,TOT,100000PER,A,2019,7.8,
ARG,SUICIDE,TOT,100000PER,A,2020,6.6,
BGR,SUICIDE,TOT,100000PER,A,2015,8.7,
BGR,SUICIDE,TOT,100000PER,A,2016,8.6,
BGR,SUICIDE,TOT,100000PER,A,2017,8.9,
BGR,SUICIDE,TOT,100000PER,A,2018,8.3,
BGR,SUICIDE,TOT,100000PER,A,2019,7.4,
BGR,SUICIDE,TOT,100000PER,A,2020,7.6,
HRV,SUICIDE,TOT,100000PER,A,2015,16.3,
HRV,SUICIDE,TOT,100000PER,A,2016,15.1,
HRV,SUICIDE,TOT,100000PER,A,2017,14,
HRV,SUICIDE,TOT,100000PER,A,2019,13,
HRV,SUICIDE,TOT,100000PER,A,2020,12.4,
PER,SUICIDE,TOT,100000PER,A,2015,0.9,
PER,SUICIDE,TOT,100000PER,A,2016,1.4,
PER,SUICIDE,TOT,100000PER,A,2017,1.3,
PER,SUICIDE,TOT,100000PER,A,2018,1.7,
PER,SUICIDE,TOT,100000PER,A,2019,1.7,
PER,SUICIDE,TOT,100000PER,A,2020,1.8,
ROU,SUICIDE,TOT,100000PER,A,2015,10.9,
ROU,SUICIDE,TOT,100000PER,A,2016,9.6,
ROU,SUICIDE,TOT,100000PER,A,2017,9.4,
ROU,SUICIDE,TOT,100000PER,A,2018,9.5,
ROU,SUICIDE,TOT,100000PER,A,2019,8.6,
