Table with row headers in column A and column headers in rows 4 through 5,,,,,,,,,,,,,,,
"Table A-2.
Households by Total Money Income, Race, and Hispanic Origin of Householder: 1967 to 2020",,,,,,,,,,,,,,,
"(Income in 2020 dollars, adjusted using the CPI-U-RS. Households as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar21.pdf>)",,,,,,,,,,,,,,,
1990,"94,312",100,10.9,9.9,9.7,13.5,19.5,13.8,14.1,4.9,3.8,"57,677",485,"72,047",501
1989,"93,347",100,10.6,9.9,9.5,13.0,19.3,13.8,14.6,5.3,4.0,"58,425",529,"73,815",529
1988,"92,830",100,11.3,9.6,9.9,13.0,19.2,14.1,14.4,4.8,3.7,"57,433",462,"71,761",527
1987 14,"91,124",100,11.4,9.9,9.7,13.4,19.1,14.2,14.2,4.8,3.4,"56,964",442,"70,841",478
1986,"89,479",100,11.8,9.9,9.8,13.6,19.2,14.1,13.8,4.5,3.2,"56,291",480,"69,545",465
1985 15,"88,458",100,11.9,10.3,10.2,14.0,19.8,13.7,13.3,4.0,2.7,"54,334",484,"66,868",435
1984 16,"86,789",100,12.0,10.8,10.1,14.5,19.8,13.6,12.9,3.9,2.5,"53,337",399,"65,351",395
1983,"85,407",100,12.5,10.8,10.6,14.6,20.1,13.5,12.2,3.5,2.3,"51,764",387,"62,957",387
1982,"83,918",100,12.5,10.7,10.8,14.4,20.7,13.4,12.0,3.4,2.2,"52,130",387,"62,824",383
1981,"83,527",100,12.2,10.8,10.9,14.3,20.4,14.1,12.1,3.3,1.9,"52,272",451,"62,447",374
1980,"82,368",100,11.9,10.7,10.2,14.5,20.8,14.4,12.1,3.4,1.9,"53,116",449,"63,172",380
1979 17,"80,776",100,11.6,10.1,10.1,13.9,20.8,14.9,12.8,3.5,2.3,"54,899",428,"65,214",406
1978,"77,330",100,11.4,10.4,10.0,14.2,20.9,14.9,12.7,3.3,2.1,"55,004",366,"64,738",408
1977,"76,030",100,11.7,11.2,10.0,14.5,21.1,14.8,11.9,2.9,1.9,"52,954",327,"62,818",314
1976 18,"74,142",100,11.8,11.1,10.2,14.7,21.6,14.6,11.5,2.6,1.8,"52,621",321,"61,896",314
1975 19,"72,867",100,12.2,11.2,10.3,15.0,22.0,14.2,11.0,2.5,1.6,"51,762",346,"60,444",310
"1974 19, 20","71,163",100,11.6,10.6,9.9,15.2,21.9,15.0,11.3,2.8,1.7,"53,154",336,"62,160",320
1973,"69,859",100,11.4,10.6,9.5,14.0,22.1,15.1,12.1,3.1,2.0,"54,893",344,"63,483",318
1972 21,"68,251",100,12.2,10.3,9.9,14.5,22.4,14.8,11.3,2.9,1.9,"53,806",338,"62,623",319
1971 22,"66,676",100,13.1,10.1,10.5,15.0,23.6,13.9,10.1,2.3,1.5,"51,596",329,"59,340",310
1970,"64,778",100,13.1,9.9,9.7,15.5,23.9,14.0,10.2,2.3,1.5,"52,103",314,"59,662",314
1969,"63,401",100,12.9,9.6,9.6,15.3,24.1,14.9,9.8,2.3,1.4,"52,510",319,"59,740",309
1968,"62,214",100,13.2,10.1,10.2,16.4,24.6,14.1,8.5,1.9,1.2,"50,628",301,"57,278",301
1967 23,"60,813",100,14.5,10.2,10.5,17.0,24.7,12.2,7.9,1.7,1.3,"48,537",291,"54,285",291
WHITE ALONE 24,,,,,,,,,,,,,,,
2020,"101,582",100,8.0,8.3,7.9,11.5,16.5,12.6,16.1,8.4,10.6,"71,231",736,"100,005","1,184"
2019,"100,568",100,7.6,7.5,7.9,11.4,16.7,12.6,16.5,8.8,11.0,"73,105",810,"103,002","1,207"
2018,"100,528",100,8.4,8.2,8.1,11.8,17.2,13.1,15.9,7.7,9.6,"69,007",666,"96,844","1,065"
2017 2,"100,113",100,8.4,8.5,8.8,11.8,16.5,12.7,15.7,7.8,9.8,"68,461",889,"96,640","1,115"
2017,"100,065",100,8.4,8.7,8.8,11.7,16.4,12.7,16.0,8.0,9.3,"68,925",723,"94,647","1,046"
2016,"99,400",100,8.7,8.6,8.9,12.2,16.5,12.8,15.9,7.7,8.7,"66,724",593,"93,136",948
2015,"99,313",100,8.8,9.2,9.6,12.0,16.3,12.8,15.9,7.6,7.8,"65,674",685,"89,838",845
2014,"98,679",100,9.8,9.7,9.2,12.5,16.8,12.6,14.9,7.0,7.5,"62,237",639,"86,342",942
2013 3,"98,807",100,9.7,9.9,9.1,11.9,17.3,12.7,14.6,7.1,7.6,"63,157",947,"86,619","1,388"
2013 4,"97,774",100,9.6,9.9,9.4,12.2,17.7,13.0,14.6,6.8,6.7,"61,501",778,"84,408",996
2012,"97,705",100,9.5,10.1,9.7,12.6,17.3,12.8,14.7,6.7,6.5,"60,660",713,"84,051",862
2011,"96,964",100,9.5,9.8,9.9,13.2,17.4,12.4,14.7,6.7,6.5,"60,224",427,"83,982",801
2010 5,"96,306",100,9.3,10.3,9.1,13.1,17.2,12.6,15.2,6.7,6.6,"61,521",495,"83,774",793
2009 6,"95,489",100,8.7,9.5,9.2,13.3,17.6,12.9,15.2,6.9,6.6,"62,720",306,"85,315",541
2008,"95,297",100,8.8,9.5,9.2,12.9,17.3,12.9,15.9,6.9,6.7,"63,046",301,"85,798",543
2007,"95,112",100,8.0,9.3,9.2,11.9,17.5,13.2,16.3,7.4,7.2,"65,221",317,"88,018",552
2006,"94,705",100,8.0,9.0,9.2,12.6,17.7,13.2,15.9,7.2,7.2,"65,215",311,"88,939",610
2005,"93,588",100,8.5,9.0,9.4,12.5,17.8,13.4,15.6,6.9,6.9,"64,513",463,"87,643",597
2004 7,"92,880",100,8.6,9.4,9.5,12.6,17.2,13.3,15.9,6.9,6.7,"64,094",414,"86,418",585
2003,"91,962",100,8.6,9.3,8.9,12.9,17.4,12.9,16.2,6.9,6.8,"64,377",415,"86,887",573
2002,"91,645",100,8.4,9.3,8.9,12.5,17.6,13.2,16.7,6.9,6.5,"65,052",434,"86,810",582
WHITE 25,,,,,,,,,,,,,,,
2001,"90,682",100,8.1,9.3,8.5,12.9,17.7,13.2,16.5,6.8,7.0,"65,244",504,"88,686",627
2000 8,"90,030",100,7.7,9.1,8.5,13.0,17.2,13.9,16.2,7.4,6.8,"66,195",481,"89,314",630
1999 9,"88,893",100,7.5,9.2,8.9,12.8,17.5,13.7,16.4,7.0,6.8,"65,962",549,"88,405",823
1998,"87,212",100,8.1,9.3,8.6,13.0,17.6,14.2,16.2,6.9,6.2,"65,118",537,"86,279",835
1997,"86,106",100,8.6,9.6,9.3,12.7,18.3,13.6,15.7,6.4,5.8,"62,870",655,"83,728",839
1996,"85,059",100,8.8,10.0,9.4,13.4,18.0,14.0,15.4,5.9,5.1,"61,244",521,"80,746",786
1995 10,"84,511",100,8.7,9.9,9.9,13.0,19.0,13.8,15.1,5.7,4.8,"60,515",520,"79,064",754
1994 11,"83,737",100,9.4,10.2,9.8,13.3,19.0,13.1,14.9,5.5,4.8,"58,961",544,"78,032",747
1993 12,"82,387",100,9.7,10.1,9.4,13.9,19.1,13.6,14.4,5.5,4.4,"58,303",559,"76,567",727
1992 13,"81,795",100,9.7,10.0,9.8,13.5,19.2,14.1,14.6,5.2,3.9,"58,411",465,"73,618",540
1991,"81,675",100,9.5,9.8,9.4,13.9,19.6,14.0,14.7,5.3,3.7,"58,674",468,"73,458",526
1990,"80,968",100,9.1,9.4,9.5,13.5,19.9,14.3,14.9,5.2,4.1,"60,158",453,"74,953",551
1989,"80,163",100,8.8,9.5,9.4,12.9,19.7,14.5,15.3,5.6,4.4,"61,457",492,"76,889",585
1988,"79,734",100,9.5,8.9,9.7,13.0,19.8,14.7,15.3,5.1,4.0,"60,716",590,"74,822",580
1987 14,"78,519",100,9.6,9.4,9.5,13.3,19.6,14.9,15.1,5.1,3.7,"60,017",496,"73,868",525
1986,"77,284",100,10.1,9.4,9.5,13.6,19.7,14.7,14.7,4.8,3.5,"59,181",472,"72,442",510
1985 15,"76,576",100,10.3,9.8,9.9,14.0,20.3,14.3,14.0,4.4,3.0,"57,302",503,"69,612",481
1984 16,"75,328",100,10.3,10.1,9.8,14.5,20.4,14.3,13.6,4.2,2.8,"56,269",466,"68,047",434
1983,"74,376",100,10.7,10.1,10.5,14.7,20.8,14.1,12.9,3.8,2.5,"54,285",404,"65,570",420
1982,"73,182",100,10.8,10.1,10.4,14.5,21.2,14.0,12.8,3.7,2.4,"54,575",408,"65,414",421
1981,"72,845",100,10.6,10.1,10.6,14.4,21.0,14.8,12.8,3.6,2.1,"55,229",419,"65,064",406
1980,"71,872",100,10.4,10.0,9.9,14.5,21.4,15.2,12.9,3.7,2.1,"56,037",474,"65,722",414
1979 17,"70,766",100,10.1,9.4,9.8,13.9,21.4,15.7,13.5,3.8,2.5,"57,560",450,"67,786",444
1978,"68,028",100,10.0,9.9,9.7,14.2,21.3,15.7,13.4,3.5,2.3,"57,180",414,"67,137",444
1977,"66,934",100,10.3,10.4,9.8,14.4,21.7,15.5,12.6,3.2,2.1,"55,686",385,"65,272",347
1976 18,"65,353",100,10.5,10.4,10.0,14.6,22.1,15.3,12.2,2.9,1.9,"55,123",375,"64,277",341
1975 19,"64,392",100,10.8,10.6,10.0,14.8,22.6,14.9,11.8,2.7,1.7,"54,131",325,"62,676",339
"1974 19, 20","62,984",100,10.4,9.9,9.6,15.1,22.6,15.7,12.0,3.0,1.8,"55,590",344,"64,462",344
1973,"61,965",100,10.3,9.9,9.2,13.8,22.6,15.8,12.9,3.4,2.2,"57,530",361,"65,937",344
1972 21,"60,618",100,11.0,9.5,9.4,14.4,23.1,15.4,12.1,3.1,2.0,"56,448",356,"65,059",347
1971 22,"59,463",100,11.9,9.4,10.1,14.9,24.4,14.6,10.7,2.5,1.6,"53,968",338,"61,489",329
1970,"57,575",100,11.9,9.3,9.2,15.3,24.7,14.7,10.8,2.5,1.6,"54,269",343,"61,750",334
1969,"56,248",100,11.7,9.0,9.1,15.0,24.9,15.8,10.5,2.5,1.5,"54,801",329,"61,956",340
1968,"55,394",100,12.1,9.3,9.6,16.4,25.4,14.8,9.1,2.0,1.3,"52,714",323,"59,338",323
1967 23,"54,188",100,13.3,9.4,10.0,17.1,25.7,12.9,8.4,1.8,1.4,"50,616",302,"56,269",313
"WHITE ALONE, NOT HISPANIC 24",,,,,,,,,,,,,,,
2020,"85,336",100,7.6,8.0,7.5,10.9,16.1,12.7,16.6,9.0,11.7,"74,912",936,"104,754","1,373"
2019,"84,868",100,7.2,7.3,7.4,10.9,16.2,12.6,17.1,9.3,12.1,"77,007",887,"107,990","1,376"
2018,"84,727",100,7.9,7.7,7.7,11.2,17.0,13.1,16.7,8.2,10.5,"72,820",672,"101,290","1,206"
2017 2,"84,706",100,7.9,8.2,8.3,11.4,16.1,12.8,16.3,8.4,10.7,"72,005","1,171","101,117","1,226"
2017,"84,681",100,7.9,8.4,8.4,11.2,16.0,12.8,16.6,8.5,10.2,"71,958","1,108","98,682","1,148"
2016,"84,387",100,8.2,8.2,8.5,11.7,16.3,12.8,16.6,8.3,9.6,"70,157",905,"96,818","1,081"
2015,"84,445",100,8.2,8.8,9.0,11.5,16.1,13.0,16.8,8.1,8.5,"68,778",974,"93,508",954
2014,"84,228",100,9.2,9.2,8.8,12.0,16.5,12.8,15.5,7.6,8.3,"65,948",663,"90,255","1,042"
2013 3,"84,432",100,9.1,9.3,8.4,11.3,17.3,13.1,15.4,7.6,8.3,"67,146",976,"90,406","1,553"
2013 4,"83,641",100,8.9,9.4,8.9,11.8,17.6,13.4,15.3,7.3,7.4,"64,854","1,120","88,305","1,155"
2012,"83,792",100,8.7,9.6,9.3,12.2,17.2,13.2,15.5,7.3,7.1,"64,391",667,"87,922",957
2011,"83,573",100,8.7,9.4,9.4,12.7,17.3,12.8,15.4,7.2,7.2,"63,912",622,"87,731",907
2010 5,"83,314",100,8.6,9.9,8.6,12.6,17.0,12.8,16.0,7.1,7.2,"64,794",873,"87,249",900
2009 6,"83,158",100,8.1,9.0,8.8,12.9,17.6,13.2,15.9,7.4,7.1,"65,865",555,"88,576",595
2008,"82,884",100,8.1,9.0,8.9,12.3,17.1,13.3,16.7,7.4,7.3,"66,924",446,"89,307",601
2007,"82,765",100,7.5,8.9,8.8,11.4,17.3,13.3,17.1,7.9,7.8,"68,731",508,"91,586",607
2006,"82,675",100,7.5,8.7,8.7,12.2,17.5,13.4,16.6,7.6,7.8,"67,467",398,"92,334",671
2005,"82,003",100,8.0,8.7,8.9,12.0,17.5,13.6,16.4,7.4,7.5,"67,476",376,"91,152",662
2004 7,"81,628",100,8.1,9.0,9.0,12.1,16.9,13.6,16.6,7.3,7.3,"67,187",506,"89,645",642
2003,"81,148",100,8.1,8.9,8.5,12.3,17.3,13.2,17.0,7.4,7.4,"67,404",536,"90,132",629
2002,"81,166",100,8.0,8.9,8.5,12.0,17.5,13.4,17.4,7.3,7.0,"67,669",437,"89,622",627
"WHITE, NOT HISPANIC 25",,,,,,,,,,,,,,,
2001,"80,818",100,7.8,8.9,8.2,12.4,17.5,13.4,17.1,7.2,7.5,"67,864",463,"91,517",682
2000 8,"80,527",100,7.4,8.7,8.2,12.7,17.0,14.1,16.8,7.9,7.3,"68,768",454,"92,032",679
1999 9,"79,819",100,7.1,8.7,8.6,12.3,17.4,14.0,17.0,7.5,7.3,"68,817",715,"91,304",890
1998,"78,577",100,7.4,8.8,8.3,12.6,17.5,14.5,16.9,7.3,6.6,"67,548",639,"89,042",895
1997,"77,936",100,7.9,9.2,8.9,12.3,18.2,14.0,16.5,6.7,6.2,"65,459",563,"86,411",N
1996,"77,240",100,8.2,9.5,9.0,13.1,18.1,14.4,16.1,6.2,5.4,"63,924",721,"83,188",N
1995 10,"76,932",100,7.9,9.5,9.5,12.7,19.2,14.1,15.8,6.1,5.2,"62,904",540,"81,642",804
1994 11,"77,004",100,8.8,9.9,9.6,13.1,19.1,13.5,15.4,5.8,5.0,"60,864",530,"80,019",781
1993 12,"75,697",100,9.2,9.6,9.2,13.6,19.1,14.0,14.9,5.8,4.6,"60,449",582,"78,586",771
1992 13,"75,107",100,9.1,9.7,9.5,13.3,19.3,14.4,15.2,5.5,4.1,"60,372",615,"75,487",573
1991,"75,625",100,9.0,9.5,9.2,13.7,19.7,14.3,15.2,5.6,3.9,"60,076",486,"75,034",550
1990,"75,035",100,8.6,9.0,9.3,13.4,19.9,14.6,15.4,5.5,4.3,"61,533",472,"76,614",570
1989,"74,495",100,8.3,9.3,9.2,12.7,19.8,14.7,15.7,5.8,4.6,"62,779",505,"78,429",632
1988,"74,067",100,9.0,8.6,9.4,12.8,19.9,14.9,15.8,5.4,4.1,"62,389",604,"76,350",590
1987 14,"73,120",100,9.1,9.1,9.2,13.1,19.8,15.1,15.6,5.3,3.8,"61,667",565,"75,313",575
1986,"72,067",100,9.7,9.1,9.3,13.4,19.8,14.9,15.1,5.0,3.7,"60,526",513,"73,880",558
1985 15,"71,540",100,9.9,9.4,9.7,13.9,20.4,14.6,14.4,4.6,3.1,"58,590",492,"70,967",530
1984 16,"70,586",100,9.8,9.8,9.6,14.4,20.5,14.6,14.0,4.3,2.9,"57,437",525,"69,230",509
1983,"69,648",100,10.2,9.8,10.3,14.6,20.9,14.4,13.3,3.9,2.7,"55,680",461,"67,292",473
1982,"69,214",100,10.5,9.8,10.3,14.4,21.3,14.3,13.2,3.8,2.5,"55,490",459,"66,375",468
1981,"68,996",100,10.3,9.9,10.5,14.2,21.1,15.0,13.1,3.7,2.2,"56,026",469,"65,884",451
1980,"68,106",100,10.1,9.8,9.7,14.4,21.5,15.3,13.2,3.8,2.1,"57,030",533,"66,586",493
1979 17,"67,203",100,9.9,9.3,9.6,13.7,21.3,15.9,13.8,3.9,2.6,"58,371",532,"68,569",494
1978,"64,836",100,9.8,9.7,9.6,13.9,21.4,15.9,13.7,3.6,2.4,"58,257",505,"67,930",481
1977,"63,721",100,10.2,10.2,9.6,14.1,21.7,15.8,12.9,3.3,2.2,"56,790",526,"66,080",513
1976 18,"62,365",100,10.3,10.1,9.8,14.5,22.2,15.6,12.6,2.9,2.0,"56,247",539,"65,103",478
1975 19,"61,533",100,10.6,10.4,9.8,14.7,22.7,15.1,12.1,2.8,1.8,"54,539",476,"63,444",505
"1974 19, 20","60,164",100,10.2,9.7,9.4,14.9,22.6,15.9,12.3,3.1,1.9,"56,064",453,"65,189",469
1973,"59,236",100,10.3,9.7,9.0,13.5,22.6,16.0,13.2,3.5,2.2,"58,036",447,"66,673",464
1972 21,"58,005",100,11.0,9.2,9.2,14.1,23.1,15.7,12.4,3.2,2.1,"57,252",447,"65,814",484
BLACK ALONE OR IN COMBINATION,,,,,,,,,,,,,,,
2020,"18,326",100,17.7,11.4,10.3,13.3,17.2,10.1,10.9,4.3,4.9,"46,600","1,255","68,736","1,841"
2019,"18,055",100,16.7,11.5,11.2,13.4,17.0,9.8,10.9,4.4,5.1,"46,648","1,163","68,772","1,943"
2018,"18,095",100,18.5,12.5,11.2,13.8,16.5,9.8,9.7,4.4,3.5,"42,977",945,"61,193","1,375"
2017 2,"17,813",100,18.5,12.5,12.0,14.0,15.9,9.5,10.3,3.7,3.7,"42,226","1,193","61,644","1,377"
2017,"17,801",100,18.6,12.1,11.7,14.0,15.6,10.5,10.2,3.7,3.6,"42,865",870,"62,286","1,388"
2016,"17,505",100,18.9,12.4,11.3,13.7,16.2,10.3,9.9,3.9,3.3,"43,217","1,034","62,694","1,661"
2015,"17,322",100,19.9,13.2,12.0,12.6,16.0,10.1,9.5,3.7,2.9,"40,656",981,"59,879","1,558"
2014,"17,198",100,20.5,13.5,12.0,14.4,15.5,8.9,8.9,3.4,2.8,"39,021",850,"56,497","1,248"
2013 3,"16,723",100,20.3,13.3,12.0,14.1,16.9,7.8,9.2,3.8,2.5,"39,805","1,424","57,513","2,422"
2013 4,"16,855",100,20.4,14.3,11.7,14.0,16.2,8.7,9.2,3.3,2.3,"38,704","1,282","55,322","1,595"
2012,"16,559",100,21.5,14.0,11.4,13.6,16.2,9.1,8.9,3.1,2.2,"38,084","1,483","54,396","1,371"
2011,"16,165",100,22.1,14.2,11.5,13.5,15.5,8.9,8.7,3.2,2.3,"37,331","1,049","54,794","1,467"
2010 5,"15,909",100,21.7,13.5,11.3,14.7,15.3,9.8,8.5,3.1,2.1,"38,258",920,"54,133","1,227"
2009 6,"15,212",100,19.5,13.4,11.4,15.2,16.2,9.8,9.3,3.0,2.2,"39,608",832,"55,971","1,027"
2008,"15,056",100,19.1,12.5,12.0,15.2,16.9,9.5,9.5,3.2,2.1,"41,392",870,"56,257",967
2007,"14,976",100,18.7,12.6,10.9,14.0,17.0,10.3,10.5,3.5,2.4,"42,664",957,"58,608","1,054"
2006,"14,709",100,18.8,12.7,11.4,14.6,17.1,9.6,9.9,3.5,2.4,"41,353",504,"58,548","1,181"
2005,"14,399",100,19.5,13.3,11.6,13.5,17.0,10.0,9.5,3.2,2.3,"41,128",645,"56,771","1,016"
2004 7,"14,151",100,19.7,12.2,12.2,14.7,16.0,10.5,9.4,3.2,2.1,"41,534",626,"55,990",978
2003,"13,969",100,19.2,12.9,11.1,14.4,16.8,10.2,9.9,3.3,2.2,"41,885",866,"56,878",991
2002,"13,778",100,18.6,13.1,11.1,15.0,16.6,9.9,9.8,3.5,2.4,"42,098",911,"58,196","1,116"
BLACK ALONE 26,,,,,,,,,,,,,,,
2020,"17,358",100,18.0,11.7,10.3,13.3,17.1,9.9,10.7,4.1,4.8,"45,870","1,268","67,593","1,958"
2019,"17,054",100,17.0,11.5,11.3,13.5,16.8,9.8,10.8,4.3,4.8,"46,005","1,227","67,384","1,905"
2018,"17,167",100,18.9,12.4,11.1,13.9,16.4,9.8,9.6,4.4,3.4,"42,636",934,"60,473","1,387"
2017 2,"17,019",100,18.7,12.6,12.1,14.0,15.7,9.4,10.2,3.6,3.7,"41,568","1,473","61,276","1,426"
2017,"16,997",100,18.9,12.2,11.7,14.0,15.5,10.3,10.1,3.8,3.5,"42,511","1,002","61,872","1,433"
2016,"16,733",100,19.3,12.5,11.4,13.6,16.1,10.2,9.9,3.9,3.2,"42,596","1,279","61,964","1,654"
2015,"16,539",100,20.1,13.3,12.1,12.7,15.9,10.0,9.4,3.7,2.9,"40,314",922,"59,384","1,547"
2014,"16,437",100,20.6,13.5,12.2,14.4,15.5,8.8,8.8,3.4,2.7,"38,742",830,"56,069","1,244"
2013 3,"16,009",100,20.8,13.5,11.8,14.0,16.8,7.9,9.1,3.6,2.4,"39,315","1,569","56,155","2,170"
2013 4,"16,108",100,20.5,14.4,11.7,14.0,16.1,8.7,9.1,3.2,2.3,"38,507","1,333","55,237","1,620"
2012,"15,872",100,21.6,14.2,11.4,13.6,16.2,9.1,8.7,3.1,2.1,"37,635","1,468","53,918","1,399"
2011,"15,583",100,22.3,14.3,11.5,13.6,15.5,8.9,8.6,3.2,2.2,"37,173",966,"54,504","1,524"
2010 5,"15,265",100,21.9,13.5,11.2,14.6,15.4,9.9,8.4,3.0,2.0,"38,220",977,"53,488","1,225"
2009 6,"14,730",100,19.6,13.5,11.4,15.2,16.1,9.8,9.3,3.0,2.1,"39,407",784,"55,688","1,044"
2008,"14,595",100,19.2,12.6,12.0,15.2,16.9,9.5,9.4,3.2,2.1,"41,239",874,"56,081",987
2007,"14,551",100,18.8,12.6,11.0,14.0,17.0,10.4,10.4,3.5,2.3,"42,445",978,"58,358","1,071"
2006,"14,354",100,19.0,12.8,11.5,14.5,17.0,9.7,9.8,3.5,2.4,"41,143",510,"58,077","1,181"
2005,"14,002",100,19.6,13.4,11.6,13.6,17.0,10.0,9.4,3.2,2.2,"41,001",658,"56,408","1,008"
2004 7,"13,809",100,19.9,12.3,12.3,14.7,15.8,10.5,9.3,3.1,2.1,"41,341",707,"55,817",994
2003,"13,629",100,19.4,12.9,11.1,14.5,16.9,10.2,9.8,3.2,2.1,"41,823",896,"56,617",998
2002,"13,465",100,18.7,13.2,11.1,15.1,16.6,9.9,9.8,3.4,2.4,"41,880",928,"57,730","1,097"
BLACK 25,,,,,,,,,,,,,,,
2001,"13,315",100,18.6,12.3,10.6,15.1,17.2,10.6,10.6,3.2,1.9,"43,191",837,"57,521",998
2000 8,"13,174",100,17.0,12.1,11.4,14.5,17.5,11.5,9.7,4.0,2.1,"44,718",974,"59,054",984
1999 9,"12,838",100,17.8,12.7,10.9,14.5,16.3,11.1,10.0,4.1,2.6,"43,497","1,333","59,942","1,415"
1998,"12,579",100,20.4,13.6,11.0,14.3,16.2,10.2,9.4,3.1,1.9,"40,350","1,039","54,337","1,194"
1997,"12,474",100,20.1,13.3,11.3,14.6,17.0,10.5,8.9,2.9,1.4,"40,411","1,144","53,176","1,255"
1996,"12,109",100,20.9,14.6,11.4,13.8,16.7,10.4,8.3,2.4,1.6,"38,700","1,253","53,497","1,719"
1995 10,"11,577",100,21.1,14.0,11.9,14.3,17.0,9.4,9.0,2.0,1.3,"37,888","1,063","51,436","1,447"
