"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","ALCOHOL","TOT","LT_CAP15","A","2017",7.2,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2018",7.2,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2019",7.1,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2020",6.7,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2021",6.6,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2017",8.7,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2018",8.5,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2019",8.3,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2020",7.9,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2021",7.7,
"LUX","ALCOHOL","TOT","LT_CAP15","A","2017",11.3,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2018",11.1,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2019",11,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2017",4.7,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2018",4.8,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2019",4.9,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2020",4.2,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2021",5.1,"D"
"NLD","ALCOHOL","TOT","LT_CAP15","A","2017",8.3,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2018",8.3,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2019",8.2,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2020",7.8,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2021",8.1,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2017",8.8,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2018",8.8,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2019",8.8,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2020",8.7,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2021",8.8,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2022",8.7,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2017",6,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2018",6,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2019",6.1,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2020",7.2,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2021",7.4,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2022",6.6,
"POL","ALCOHOL","TOT","LT_CAP15","A","2017",10.6,
"POL","ALCOHOL","TOT","LT_CAP15","A","2018",10.7,
"POL","ALCOHOL","TOT","LT_CAP15","A","2019",11,
"POL","ALCOHOL","TOT","LT_CAP15","A","2020",10.9,
"POL","ALCOHOL","TOT","LT_CAP15","A","2021",11,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2017",10.4,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2018",10.4,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2019",10.4,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2017",9.7,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2018",10.1,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2019",10.3,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2020",10.2,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2021",9.6,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2017",10.9,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2018",10.4,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2019",10.7,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2020",8.7,"E"
"ESP","ALCOHOL","TOT","LT_CAP15","A","2021",10.5,"E"
"SWE","ALCOHOL","TOT","LT_CAP15","A","2017",7,
"SWE","ALCOHOL","TOT","LT_CAP15","A","2018",7.2,
"SWE","ALCOHOL","TOT","LT_CAP15","A","2019",7.1,
"SWE","ALCOHOL","TOT","LT_CAP15","A","2020",7.5,
"SWE","ALCOHOL","TOT","LT_CAP15","A","2021",7.6,
"CHE","ALCOHOL","TOT","LT_CAP15","A","2017",8.6,
"CHE","ALCOHOL","TOT","LT_CAP15","A","2018",8.5,
"CHE","ALCOHOL","TOT","LT_CAP15","A","2019",8.7,
"CHE","ALCOHOL","TOT","LT_CAP15","A","2020",8.5,
"CHE","ALCOHOL","TOT","LT_CAP15","A","2021",8.5,
"TUR","ALCOHOL","TOT","LT_CAP15","A","2017",1.4,
"TUR","ALCOHOL","TOT","LT_CAP15","A","2018",1.4,
"TUR","ALCOHOL","TOT","LT_CAP15","A","2019",1.3,
"TUR","ALCOHOL","TOT","LT_CAP15","A","2020",1.2,
"TUR","ALCOHOL","TOT","LT_CAP15","A","2021",1.4,
"GBR","ALCOHOL","TOT","LT_CAP15","A","2017",9.7,
"GBR","ALCOHOL","TOT","LT_CAP15","A","2018",9.8,
"GBR","ALCOHOL","TOT","LT_CAP15","A","2019",9.7,
"GBR","ALCOHOL","TOT","LT_CAP15","A","2020",9.7,
"GBR","ALCOHOL","TOT","LT_CAP15","A","2021",10,
"USA","ALCOHOL","TOT","LT_CAP15","A","2017",8.9,
"USA","ALCOHOL","TOT","LT_CAP15","A","2018",8.9,
"USA","ALCOHOL","TOT","LT_CAP15","A","2019",9,
"USA","ALCOHOL","TOT","LT_CAP15","A","2020",9.2,
"USA","ALCOHOL","TOT","LT_CAP15","A","2021",9.5,
"BRA","ALCOHOL","TOT","LT_CAP15","A","2017",9.2,"E"
"BRA","ALCOHOL","TOT","LT_CAP15","A","2018",9.4,"E"
"BRA","ALCOHOL","TOT","LT_CAP15","A","2019",9.8,"E"
"BRA","ALCOHOL","TOT","LT_CAP15","A","2020",9.8,"E"
"CHL","ALCOHOL","TOT","LT_CAP15","A","2017",5.7,
"CHL","ALCOHOL","TOT","LT_CAP15","A","2018",6.3,
"CHL","ALCOHOL","TOT","LT_CAP15","A","2019",7.1,
"CHN","ALCOHOL","TOT","LT_CAP15","A","2017",5.3,
"CHN","ALCOHOL","TOT","LT_CAP15","A","2018",4.8,
"CHN","ALCOHOL","TOT","LT_CAP15","A","2019",4.5,
"EST","ALCOHOL","TOT","LT_CAP15","A","2017",10.3,"D"
"EST","ALCOHOL","TOT","LT_CAP15","A","2018",10,"D"
"EST","ALCOHOL","TOT","LT_CAP15","A","2019",10.4,"D"
"EST","ALCOHOL","TOT","LT_CAP15","A","2020",10.8,"D"
"EST","ALCOHOL","TOT","LT_CAP15","A","2021",11.1,"D"
"IND","ALCOHOL","TOT","LT_CAP15","A","2017",2.9,
"IND","ALCOHOL","TOT","LT_CAP15","A","2018",3,
"IND","ALCOHOL","TOT","LT_CAP15","A","2019",3.1,
"IDN","ALCOHOL","TOT","LT_CAP15","A","2017",0.1,
"IDN","ALCOHOL","TOT","LT_CAP15","A","2018",0.1,
"IDN","ALCOHOL","TOT","LT_CAP15","A","2019",0.1,
"ISR","ALCOHOL","TOT","LT_CAP15","A","2017",2.9,
"ISR","ALCOHOL","TOT","LT_CAP15","A","2018",3,
"ISR","ALCOHOL","TOT","LT_CAP15","A","2019",3.1,
"RUS","ALCOHOL","TOT","LT_CAP15","A","2017",11.1,
"RUS","ALCOHOL","TOT","LT_CAP15","A","2018",11.1,
"RUS","ALCOHOL","TOT","LT_CAP15","A","2019",10.8,
"SVN","ALCOHOL","TOT","LT_CAP15","A","2017",10.1,
"SVN","ALCOHOL","TOT","LT_CAP15","A","2018",10,
"SVN","ALCOHOL","TOT","LT_CAP15","A","2019",11.1,
"SVN","ALCOHOL","TOT","LT_CAP15","A","2020",9.8,
"SVN","ALCOHOL","TOT","LT_CAP15","A","2021",10.6,
"ZAF","ALCOHOL","TOT","LT_CAP15","A","2017",7.3,
"ZAF","ALCOHOL","TOT","LT_CAP15","A","2018",7.2,
"ZAF","ALCOHOL","TOT","LT_CAP15","A","2019",7.2,
"COL","ALCOHOL","TOT","LT_CAP15","A","2017",4.2,
"COL","ALCOHOL","TOT","LT_CAP15","A","2018",4.2,
"COL","ALCOHOL","TOT","LT_CAP15","A","2019",4.1,
"LVA","ALCOHOL","TOT","LT_CAP15","A","2017",10.9,"B"
"LVA","ALCOHOL","TOT","LT_CAP15","A","2018",11,
"LVA","ALCOHOL","TOT","LT_CAP15","A","2019",11.6,
"LVA","ALCOHOL","TOT","LT_CAP15","A","2020",12.1,
"LVA","ALCOHOL","TOT","LT_CAP15","A","2021",12.2,
"LTU","ALCOHOL","TOT","LT_CAP15","A","2017",12.3,
"LTU","ALCOHOL","TOT","LT_CAP15","A","2018",11.2,
"LTU","ALCOHOL","TOT","LT_CAP15","A","2019",11.1,
"LTU","ALCOHOL","TOT","LT_CAP15","A","2020",11.4,
"LTU","ALCOHOL","TOT","LT_CAP15","A","2021",12.1,
"CRI","ALCOHOL","TOT","LT_CAP15","A","2017",3.3,
"CRI","ALCOHOL","TOT","LT_CAP15","A","2018",3.3,
"CRI","ALCOHOL","TOT","LT_CAP15","A","2019",3.1,
"CRI","ALCOHOL","TOT","LT_CAP15","A","2020",3.2,
"CRI","ALCOHOL","TOT","LT_CAP15","A","2021",3.1,"P"
"CRI","ALCOHOL","TOT","LT_CAP15","A","2022",3.5,"P"
"ARG","ALCOHOL","TOT","LT_CAP15","A","2017",8.3,
"ARG","ALCOHOL","TOT","LT_CAP15","A","2018",8,
"ARG","ALCOHOL","TOT","LT_CAP15","A","2019",8,
"BGR","ALCOHOL","TOT","LT_CAP15","A","2017",10.9,
"BGR","ALCOHOL","TOT","LT_CAP15","A","2018",11.5,
"BGR","ALCOHOL","TOT","LT_CAP15","A","2019",11.2,
"HRV","ALCOHOL","TOT","LT_CAP15","A","2017",9.7,
"HRV","ALCOHOL","TOT","LT_CAP15","A","2018",9.6,
"HRV","ALCOHOL","TOT","LT_CAP15","A","2019",9.6,
"PER","ALCOHOL","TOT","LT_CAP15","A","2017",5.8,
"PER","ALCOHOL","TOT","LT_CAP15","A","2018",5.7,
"PER","ALCOHOL","TOT","LT_CAP15","A","2019",5.7,
"ROU","ALCOHOL","TOT","LT_CAP15","A","2017",10.1,
"ROU","ALCOHOL","TOT","LT_CAP15","A","2018",11,
"ROU","ALCOHOL","TOT","LT_CAP15","A","2019",11,
